Band/ Group Name/ Performer,Song Name,Guitar Techniques #,Year,Month,Style,Type,Key,Ability Rating,Tempo,CD,Pages,GT Tutor,Comment,Will Improve Your
"Cult, The",Lil' Devil,,1999,March,Rock,Complete track,,Easy,,Tracks 7-10,,James Humphries,,
Damien Rice,Cannonball,111,2005,May,Acoustic,Complete track,,Easy/Moderate,,Tracks 13-15,,Eric Roche,,
Danny Gatton,Harlem Nocturne,,2002,November,Jazz-Blues,Complete track,,Advanced,,,,Lee Hodgson,,
"Darkness, The",I Belive In A Thing Called Love,139,2007,May,Rock,Complete track,,Moderate/Advance,,Tracks 4-6,,Paul Bielatowicz,,
Dave Edmunds,Sabre Dance,45,2000,May,Rock,Complete track,,Moderate/Hard,,Tracks 5-7,,Guthrie Govan,,
Dave Edmunds,Sabre Dance,,1997,June,Rock,Complete track,,,,Track 8,,Guthrie Govan,,
Dave Gilmour,Standing Around Crying,,1997,October,Blues,Complete track,,,,Track 2,,Geoff Whitehorn,,
Davey Graham,Anji,,1999,July,Folk,Complete track,,Easy,,Tracks 22-23,,Eric Roche,,
David Bowie,Let's Dance,146,2007,December,Rock,Complete track,,Moderate,,,,Steve Allsworth,,
David Bowie,Space Oddity,64,2001,October,Pop,Complete track,,Moderate/Hard,,Tracks 18-21,,Dave Kilminster,,
David Bowie,Ziggy Stardust,169,2009,September,Rock,Complete track,G,Easy/Moderate,85 bpm,Tracks 24-25,,Steve Allsworth,,
David Bowie,Starman,221,2013,September,Rock,Complete track,F major,Easy,102 bpm,Tracks 24-26,34-41,Jon Bishop,,
David Bowie,Rebel Rebel,,2003,June,Rock,Riff,,,,Track 9,23,,,
David Lee Roth,Ladis' Nite In Buffalo?,195,2011,September,Rock,Complete track,F# minor,Moderate/Advance,115 bpm,Tracks 23-25,,Steve Allsworth,,
Deep Purple,Black Night,118,2005,December,Rock,Complete track,,Moderate,,Tracks 11-12,,Guthrie Govan,,
Deep Purple,Black Night,,1997,July,Rock,Complete track,,,,Track 7,,Guthrie Govan,,
Deep Purple,Burn,53,2000,Winter,Rock,Riff,,,,,,Phil Hilborne,,
Deep Purple,Demon's Eye,,1999,December,Blues,Complete track,,Easy/Moderate,,Tracks 10-13,,Geoff Whitehorn,,
Deep Purple,Highway Star,,1999,February,Rock,Complete track,,Moderate/Hard,,Tracks 5-8,,Guthrie Govan,,
Deep Purple,Lazy,,1998,September,Blues,Part 2,,Moderate,,Tracks 11-14,,Geoff Whitehorn,,
Deep Purple,Lazy,,1998,August,Blues,Part 1,,Moderate,,Track 2,,Geoff Whitehorn,,
Deep Purple,Mistreated,,1997,February,Blues,Part 2,,,,,,Geoff Whitehorn,,
Deep Purple,Mistreated,,1997,January,Blues,Part 1,,,,Track 2,,Geoff Whitehorn,,
Deep Purple,Smoke On The Water,42,2000,February,Rock,Complete track,,Moderate,,Tracks 2-4,,Guthrie Govan,,
Deep Purple,Smoke On The Water,175,2010,March,Rock,Complete track,G minor,Moderate,132 bmp,Tracks 29-30,,Steve Allsworth,,
Deep Purple,Speed King,101,2004,August,Rock,Complete track,,Easy/Moderate,,Tracks 7-9,,Dave Kilminster,,
Deep Purple,Wring That Neck,56,2001,March,Blues,Complete track,,Moderate,,Tracks 2-5,,Geoff Whitehorn,,
Deep Purple,Lazy,216,2013,Spring,Rock,Complete track,Various,Moderate/Advance,188 bpm,Tracks 19-20,36-45,Jon Bishop,,
Deep Purple,Smoke On The Water,,1998,Xmas,Rock,Riff,,,,,,Phil Hilborne,,
Def Leppard,Animal,111,2005,May,Rock,Complete track,,Moderate,,Tracks 10-12,,James Humphries,,
Def Leppard,Love Bites,,1996,July,Rock,Complete track,,,,,,Dave Kilminster,,
Def Leppard,When Love And HAte Collide,,1996,February,Rock,Complete track,,,,,,Dave Kilminster,,
"Derek Trucks Band, The",Joyful Noise,133,2006,December,Slide,Complete track,,Advanced,,Tracks 12-14,28-35,John Wheatcroft,,
Desmond Reis,Magoado,49,2000,September,Acoustic,Complete track,,Moderate,,Tracks 8-9,,Eric Roche,,
Dick Dale,Miselou,94,2004,January,Surf guitar,Complete track,,Easy,,Tracks 12-14,,James Humphries,,
Dionisio Aguado,Study In G,,2002,Summer,Classical,Complete track,,Moderate,,Tracks 23-24,,Richard Stokkereit,,
Dire Straits,Calling Elvis,142,2007,August,Rock,Complete track,,Moderate,,Tracks 24-26,,Jon Bishop,,
Dire Straits,Money For Nothing,,1997,August,Rock,Complete track,,,,Track 9,,Dave Kilminster,,
Dire Straits,Money For Nothing,190,2011,Spring,Rock,Complete track,G minor,Moderate/Advance,134 bpm,Tracks 15-16,,Steve Allsworth,,
Dire Straits,Romeo And Juliet,50,2000,October,Acoustic,Complete track,,Moderate,,Tracks 2-4,,Eric Roche,,
Dire Straits,Sultans Of Swing,126,2006,June,Rock,Complete track,,Moderate/Advance,,Tracks 5-12,22-33,Lee Hodgson,,
Dire Straits,Sultans Of Swing,,1995,December,Rock,Complete track,,,,,,,,
