Tune Title,Vol #,Vehicle Type,Key,Tempo,# of choruses,CD Track #
That's All,41,Ballad,C,66,2,"D2,7"
What's New?,41,Ballad,C,63,2,"D1,7"
Alone Together,41,Standard,D-,126,3,"D1,2"
Fools Rush In,41,Standard,C,120,5,"D1,8"
I Thought About You,41,Standard,Eb,152,6,"D1,6"
I'm An Old Cowhand,41,Standard,Eb,120,5,"D2,8"
"Lover, Come Back To Me!",41,Standard,Ab,184,4,"D2,5"
The Very Thought Of You,41,Standard,Ab,112,4,"D2,9"
Time After Time,41,Standard,C,138,5,"D1,4"
What Is This Thing Called Love?,41,Standard,C,232,8,"D1,5"
When Your Lover Has Gone,41,Standard,Ab,138,5,"D1,9"
You And The Night And The Music,41,Standard,C-,152,5,"D2,4"
You're My Everything,41,Standard,C,144,5,"D2,2"
Yours Is My Heart Alone,41,Standard,C,200,7,"D2,6"
A Little Of This?,42,Blues,F,100,8,10
Big Apple,42,Blues,E,76,7,9
Downtown Carmi,42,Blues,F#,116,10,11
Dr. Jay,42,Blues,Eb,120,9,8
Kenny'll Make It,42,Blues,Bb,96,8,3
Now Hear This,42,Blues,C,96,8,5
Repetition Blues,42,Blues,Db,96,7,6
Shuffle Duty,42,Blues,Ab,72,6,1
The Bird,42,Blues,D,138,11,7
The Camel,42,Blues,G,100,8,12
Triple-itis,42,Blues,A,72,5,2
Wiggle Waggle,42,Blues,B,66,6,4
A Night In Tunisia,43,Bebop,D-,138,5,4
Afternoon In Paris,43,Bebop,C,124,5,5
Groovin' High,43,Bebop,Eb,150,5,2
High Fly,43,Bebop,Bb,120,5,6
Bluesette,43,Blues,G,132,7,9
West Coast Blues,43,Blues,Bb,120,8,7
All The Things You Are,43,Standard,Ab,132,5,3
I'll Remember April,43,Standard,G,228,6,8
After You've Gone,44,Standard,C,176,6,5
All Or Nothing At All,44,Standard,C,160,4,10
Autumn Leaves,44,Standard,G-,174,7,2
My Shining Hour,44,Standard,Eb,184,6,3
S'posin',44,Standard,Bb,134,6,7
Stormy Weather,44,Standard,Eb,112,2,6
Tenderly,44,Standard,Eb,108,2,4
There Will Never Be Another You,44,Standard,Eb,168,7,8
Witchcraft,44,Standard,F,164,6,9
Laurie,45,Ballad,Bb,66,2,8
Turn Out The Stars,45,Ballad,C,96,3,10
Very Early,45,Ballad,C,84,5,6
Funkallero,45,Bebop,C-,116,10,5
Peri's Scope,45,Bebop,C,126,8,3
Time Remembered,45,Contemp.,C-,108,6,4
Walkin' Up,45,Contemp.,C,108,4,9
Interplay,45,Minor Blues,F-,108,10,7
Waltz For Debby,45,Standard,F,168/112,4,2
Four Brothers,46,Bebop,Ab,120,5,9
A Weaver Of Dreams,46,Standard,C,104,4,6
Basin Street Blues,46,Standard,C,58,4,5
If I Were A Bell,46,Standard,F,126,4,2
Ill Wind,46,Standard,Bb,88,4,10
I'm Glad There Is You,46,Standard,F,66,2,8
Mister Sandman,46,Standard,Bb,160,6,3
Out Of This World,46,Standard,Eb,126,3,7
Prisoner Of Love,46,Standard,Eb,72,2,4
Ah! A Bossa,47,Standard,Gb,112,3,6
Almost Like…,47,Standard,E,112,3,8
Bebop O'Rooney,47,Standard,F,116,4,2
Blue Top Expresso,47,Standard,C,100,3,12
Climbing Up,47,Standard,D,112,3,10
Flat Tire! Flat Tire!,47,Standard,Db,132,4,5
Groovin' (I Got Rhythm),47,Standard,Ab,116,3,4
Home Court Advantage,47,Standard,Bb,112,4,1
I Got Rhythm**,47,Standard,Ab,116,3,4
Is This Blues?,47,Standard,Eb,116,4,3
Oh Yell!,47,Standard,G,88,4,11
Put On Your Thinking Cap,47,Standard,B,112,3,7
Slidin' Home,47,Standard,Bb,216,6,15
Weaving Thru Changes,47,Standard,A,120,3,3
I Didn't Know About You,48,Ballad,Db,66,2,7
I Got It Bad,48,Ballad,G,54,2,9
Warm Valley,48,Ballad,Bb,56,2,10
Cottontail,48,Bebop,Ab,194,9,5
C Jam Blues,48,Blues,C,144,13,6
Do Nothing Till You Hear From Me,48,Standard,Bb,80,4,3
In A Mellow Tone,48,Standard,Ab,104,5,2
Just Squeeze Me,48,Standard,F,100,4,8
Don't Get Around Much Anymore,48,Swing,C,104,4,4
Flamingo,49,Ballad,C,60,2,10
Georgia On My Mind,49,Ballad,F,56,2,7
Misty,49,Ballad,Eb,96,2,3
When Sunny Gets Blue,49,Ballad,F,52,3,4
Sugar,49,Bebop,C-,120,12,2
Back At The Chicken Shack,49,Blues,F,88,8,6
On The Sunny Side Of The Street,49,Standard,C,104,4,8
Stranger In Paradise,49,Standard,C,104,3,9
Sunny,49,Standard,A-,118,10,5
Blue In Green,50,Ballad,G-,54,7,6
Seven Steps To Heaven,50,Bebop,F,216,9,7
All Blues,50,Blues,G,104,8,4
Eighty One,50,Blues,C-,104,15,9
Freddie Freeloader,50,Blues,Bb,96,11,2
Joshua,50,Contemp.,D-,216,5,10
Nardis,50,Contemp.,E-,160,7,8
Milestones (New) (Fast),50,Modal,F,200,7,12
Milestones (New) (Slow),50,Modal,F,72,6,5
So What (Fast),50,Modal,D-,164,7,11
So What (Slow),50,Modal,D-,106,6,2
Embraceable You,51,Ballad,G,66,3,3
How Long Has This Been Going On?,51,Ballad,G,69,3,6
I'm A Fool To Want You,51,Ballad,E-,63,2,13
My One And Only Love,51,Ballad,C,56,3,9
The Man I Love,51,Ballad,Eb,63,2,11
I Got Rhythm,51,Standard,Bb,196,3,4
Just One Of Those Things,51,Standard,F,96,3,5
Night And Day,51,Standard,Eb,160,6,2
Tea For Two,51,Standard,Ab,116,6,12
Three Little Words,51,Standard,C,176,10,7
With A Song In My Heart,51,Standard,C,104,4,10
You Do Something To Me,51,Standard,Eb,176,8,8
I Get A Kick Out Of You,51,Swing,F-,168,4,14
Easy Living,52,Ballad,Eb,54,2,10
I Don't Stand A Ghost Of A Chance,52,Ballad,C,60,3,3
Stardust,52,Ballad,C,60,3,5
Sweet Lorraine,52,Ballad,C,72,3,11
Too Young To Go Steady,52,Ballad,F,52,2,13
Emily,52,Standard,C,69,3,6
I'm Getting Sentimental Over You,52,Standard,C,152,7,2
Mr. Lucky,52,Standard,G,92,4,9
Serenata,52,Standard,F,126,6,7
Stars Fell On Alabama,52,Standard,C,66,3,8
The Night Has A Thousand Eyes,52,Standard,G,192,6,12
When Lights Are Low,52,Standard,Eb,104,5,4
Doxy,54,Bebop,Bb,92,8,13
Bb Blues (Shuffle-Time),54,Blues,Bb,88,10,3
F Blues (Tootsie),54,Blues,F,92,10,10
Footprints,54,Blues,C-,108,7,12
Watermelon Man,54,Blues,F,96,8,6
Solar Flair,54,Bossa,C-,104,8,4
III/VI/II/V7,54,Contemp.,F-,92,33,15
Song For My Father,54,Latin,F-,100,5,7
Cantaloupe Island,54,Modal,F-,96,7,11
Impressions,54,Modal,D-,112,5,2
Maiden Voyage,54,Modal,A-,96,3,9
Autumn Leaves,54,Standard,G-,100,4,14
Satin Doll,54,Standard,C,88,6,8
Summertime,54,Standard,D-,108,9,5
Smoke Gets In Your Eyes,55,Ballad,Eb,58,3,8
All The Things You Are (Fast),55,Standard,Ab,260,7,13
